item,p,d,q,P,D,Q,m
"Фп Сб. Желудочный №3 20x2,0г",0,1,2,1,0,1,12
"Фп Сб. Фитонефрол (Урологический сбор) 20x2,0г",2,1,0,0,0,0,12
"Фп Сб. Фитогастрол (Желудочно-кишечный сбор) 20x2,0г",1,1,2,0,0,1,12
"Фп Сб. Фитогепатол №3 (Желчегонный сбор №3) 20x2,0г",2,1,0,1,0,1,12
"Фп Сенна листья 20x1,5г",2,1,0,0,0,0,12
"Фп Сб. Фитоседан №2 (Успокоительный сбор №2) 20x2,0г",2,1,2,1,0,1,12
"Фп Сб. Фитоседан №3 (Успокоительный сбор №3) 20х2,0г",1,1,1,1,0,1,12
"Фп Сб. Элекасол 20x2,0г",0,1,2,1,0,1,12
"Фп Толокнянка листья 20x1,5г",2,1,0,1,0,1,12
"Фп Фиточай ""Лактафитол"" (БАД) 20х1,5 г",0,1,1,0,0,0,12
"Фп Фиалка трехцветная трава 20x1,5г",0,1,1,0,0,1,12
"Фп Тысячелистник трава 20x1,5г",1,1,2,0,0,1,12
"Фп Хвощ полевой трава 20х1,5г",2,1,0,1,0,1,12
"Фп Череда трава 20х1,5г",2,1,2,1,0,1,12
"Фп Чабрец трава 20x1,5 г",1,1,1,0,0,1,12
"Фп Чистотел трава 20х1,5г",2,1,1,1,0,0,12
Чабрец трава 50г,2,1,2,0,0,1,12
"Фп Шалфей листья 20х1,5г",0,1,2,1,0,1,12
Чага (березовый гриб) 50г,1,1,2,1,0,1,12
"Фп Шиповник плоды 20х2,0г",0,1,2,0,0,1,12
Череда трава 50г,2,1,2,1,0,1,12
Шалфей листья 50г,2,1,2,1,0,1,12
Чистотел трава 50г,1,1,1,1,0,1,12
Шиповник плоды низковитаминные 50г,0,1,2,0,0,0,12
Эрва шерстистая трава 30г,2,1,1,1,0,1,12
Эвкалипт прутовидный листья 75г,1,1,1,0,0,1,12
