ds,forecast,item
2025-01-12,273.10501258899376,Береза почки 50г
2025-01-13,273.105012589085,Береза почки 50г
2025-01-14,273.10501258909335,Береза почки 50г
2025-01-15,273.1050125890941,Береза почки 50г
2025-01-16,273.10501258909414,Береза почки 50г
2025-01-17,273.10501258909414,Береза почки 50г
2025-01-18,273.10501258909414,Береза почки 50г
2025-01-19,273.10501258909414,Береза почки 50г
2025-01-20,273.10501258909414,Береза почки 50г
2025-01-21,273.10501258909414,Береза почки 50г
2025-01-22,273.10501258909414,Береза почки 50г
2025-01-23,273.10501258909414,Береза почки 50г
2025-01-24,273.10501258909414,Береза почки 50г
2025-01-25,273.10501258909414,Береза почки 50г
2025-01-26,273.10501258909414,Береза почки 50г
2025-01-27,273.10501258909414,Береза почки 50г
2025-01-28,273.10501258909414,Береза почки 50г
2025-01-29,273.10501258909414,Береза почки 50г
2025-01-30,273.10501258909414,Береза почки 50г
2025-01-31,273.10501258909414,Береза почки 50г
2024-12-21,661.9197869743313,Брусника листья 50г
2024-12-22,771.0604937516218,Брусника листья 50г
2024-12-23,834.9460850880954,Брусника листья 50г
2024-12-24,768.9451241880173,Брусника листья 50г
2024-12-25,788.7217102873133,Брусника листья 50г
2024-12-26,795.6377460995683,Брусника листья 50г
2024-12-27,786.3108196236346,Брусника листья 50г
2024-12-28,789.6843485617297,Брусника листья 50г
2024-12-29,790.3347146227096,Брусника листья 50г
2024-12-30,789.0427671512629,Брусника листья 50г
2024-12-31,789.5943703280475,Брусника листья 50г
2025-01-01,789.6368304819574,Брусника листья 50г
2025-01-02,789.4616723556865,Брусника листья 50г
2025-01-03,789.5489853945472,Брусника листья 50г
2025-01-04,789.5476644939862,Брусника листья 50г
2025-01-05,789.5244817845306,Брусника листья 50г
2025-01-06,789.537940071122,Брусника листья 50г
2025-01-07,789.5366906961586,Брусника листья 50г
2025-01-08,789.5337081260298,Брусника листья 50г
2025-01-09,789.5357354296565,Брусника листья 50г
2025-01-10,789.535407573128,Брусника листья 50г
