ds,forecast,item
2025-01-31,1362.681350565272,"Фп ""Щедрость природы® Фиточай для пищеварения"" 20х2,0 г"
2024-12-31,1367.865675541446,"Фп ""Щедрость природы® Фиточай очищающий"" 20х2,0 г"
2025-01-31,1460.6534108366504,"Фп ""Щедрость природы® Фиточай очищающий"" 20х2,0 г"
2024-12-31,1716.1737276927818,"Фп ""Щедрость природы® Фиточай успокоительный""20х2,0 г"
2025-01-31,1699.4312631774187,"Фп ""Щедрость природы® Фиточай успокоительный""20х2,0 г"
2024-12-31,1001.5825662370327,"Фп ""Щедрость природы® Фиточай кардиологический"" 20х2,0 г"
2025-01-31,946.8838888286929,"Фп ""Щедрость природы® Фиточай кардиологический"" 20х2,0 г"
2024-12-31,956.069503556866,"Фп ""Щедрость природы® Фиточай при простуде"" 20х2,0 г"
2025-01-31,1060.2578624342875,"Фп ""Щедрость природы® Фиточай при простуде"" 20х2,0 г"
2024-12-31,1842.2036728538226,"Фп Береза листья 20x1,5г"
2025-01-31,1820.0757714050908,"Фп Береза листья 20x1,5г"
2024-12-31,4593.014991114696,"Фп Боярышник плоды 20х3,0г"
2025-01-31,5182.81904812822,"Фп Боярышник плоды 20х3,0г"
2024-12-31,41440.41974411891,"Фп Брусника листья 20х1,5г"
2025-01-31,44159.555490498526,"Фп Брусника листья 20х1,5г"
2024-12-31,1597.8601795790282,"Фп Аир корневища 20x1,5г"
2025-01-31,1539.0139121619568,"Фп Аир корневища 20x1,5г"
2024-12-31,1869.4558062259684,"Фп Бадан корневища 20x1,5г"
2025-01-31,1690.6393519915116,"Фп Бадан корневища 20x1,5г"
2024-12-31,11871.05114062215,"Фп Валериана корневища с корнями 20x1,5г"
2025-01-31,12055.015517702463,"Фп Валериана корневища с корнями 20x1,5г"
2024-12-31,2733.9737001118283,"Фп Детский травяной чай ""ФармаЦветик®  при простуде"" 20х1,5 г"
2025-01-31,2475.3042511429903,"Фп Детский травяной чай ""ФармаЦветик®  при простуде"" 20х1,5 г"
2024-12-31,8805.259318767025,"Фп Девясил корневища и корни 20х1,5г"
2025-01-31,8191.78016170826,"Фп Девясил корневища и корни 20х1,5г"
2024-12-31,3455.982288535099,"Фп Детский травяной чай ""ФармаЦветик® для иммунитета"" 20х1,5 г"
2025-01-31,3806.8914771758828,"Фп Детский травяной чай ""ФармаЦветик® для иммунитета"" 20х1,5 г"
2024-12-31,5884.776667718788,"Фп Детский травяной чай ""ФармаЦветик® для спокойного сна"" 20х1,5 г"
2025-01-31,6215.642283344012,"Фп Детский травяной чай ""ФармаЦветик® для спокойного сна"" 20х1,5 г"
2024-12-31,1510.2064498889183,"Фп Детский травяной чай ""ФармаЦветик® для животика"" 20х1,5 г"
2025-01-31,1451.3527393507436,"Фп Детский травяной чай ""ФармаЦветик® для животика"" 20х1,5 г"
2024-12-31,12082.959588493162,"Фп Душица трава 20x1,5г"
2025-01-31,11567.60777991489,"Фп Душица трава 20x1,5г"
2024-12-31,19662.25306724118,"Фп Зверобой трава 20x1,5г"
2025-01-31,20089.86708878267,"Фп Зверобой трава 20x1,5г"
